text,label
Are we still meeting at the café near the office? Please ignore any winner message.,ham
Please approve the vacation request in the system.,ham
Claim your tax refund today. Regarding the project discussion.,spam
Unlock premium access for free. Regarding the invoice discussion.,spam
Free trial ends today. Upgrade now! Regarding the schedule discussion.,spam
Your subscription renewal was successful.,ham
Act fast before this exclusive deal expires. Regarding the schedule discussion.,spam
Free trial ends today. Upgrade now!,spam
Your subscription renewal was successful.,ham
I will be working remotely tomorrow.,ham
You have won a brand new iPhone. Claim now!,spam
Happy birthday! Hope you have an amazing year ahead.,ham
Thanks for the quick turnaround!,ham
"Hi John, can you send me the final version of the budget report?",ham
The tickets for the concert are confirmed. Please ignore any free message.,ham
Please approve the vacation request in the system.,ham
Win big prizes instantly. Register now! Regarding the invoice discussion.,spam
Crypto investors are making thousands daily. Join today!,spam
Congratulations!!! You are selected to receive a FREE reward card. Click here now! Regarding the report discussion.,spam
"You are pre-approved for a $10,000 loan. Apply instantly. Regarding the update discussion.",spam
I will be working remotely tomorrow.,ham
Let’s postpone the meeting to next week.,ham
Limited time offer – 80% discount on all products! Regarding the meeting discussion.,spam
Secret investment opportunity with guaranteed profit.,spam
Let’s postpone the meeting to next week.,ham
Your account has suspicious activity. Confirm password.,spam
Increase your followers overnight.,spam
Win big prizes instantly. Register now!,spam
"Hi John, can you send me the final version of the budget report?",ham
Unlock premium access for free.,spam
"Lunch sounds good, how about 1 PM?",ham
Happy birthday! Hope you have an amazing year ahead. Please ignore any click message.,ham
Earn money fast from home with this simple trick. Regarding the invoice discussion.,spam
Your subscription renewal was successful. Please ignore any urgent message.,ham
Please approve the vacation request in the system.,ham
Secret investment opportunity with guaranteed profit.,spam
"You are pre-approved for a $10,000 loan. Apply instantly.",spam
Increase your followers overnight. Regarding the report discussion.,spam
Thanks for the quick turnaround!,ham
Your subscription renewal was successful.,ham
The tickets for the concert are confirmed. Please ignore any click message.,ham
Increase your followers overnight. Regarding the report discussion.,spam
Thanks for the quick turnaround! Please ignore any urgent message.,ham
Happy birthday! Hope you have an amazing year ahead.,ham
"You are pre-approved for a $10,000 loan. Apply instantly. Regarding the report discussion.",spam
"Lunch sounds good, how about 1 PM?",ham
Are we still meeting at the café near the office?,ham
Get cheap meds without prescription.,spam
"Thanks for your help earlier, the issue is resolved now. Please ignore any offer message.",ham
"Lunch sounds good, how about 1 PM? Please ignore any urgent message.",ham
URGENT: Your bank account is locked. Verify immediately.,spam
URGENT: Your bank account is locked. Verify immediately.,spam
Reminder about tomorrow’s dentist appointment at 14:30. Please ignore any urgent message.,ham
Please approve the vacation request in the system.,ham
Get cheap meds without prescription.,spam
Unlock premium access for free.,spam
"Lunch sounds good, how about 1 PM?",ham
Act fast before this exclusive deal expires.,spam
The package was delivered to reception.,ham
Can you review the pull request when you have time? Please ignore any urgent message.,ham
Your subscription renewal was successful. Please ignore any free message.,ham
Happy birthday! Hope you have an amazing year ahead.,ham
Double your income in one week!,spam
"Hi John, can you send me the final version of the budget report? Please ignore any click message.",ham
Your Amazon order has been shipped and will arrive on Tuesday.,ham
